ISO_COUNTRY_CODE,AWARD_VALUE_EURO,CRIT_CRITERIA
RO,10784.14,
RO,7800.77,
RO,,
PL,10342.98,cena---termin dostawy
DE,,Qualitätskonzept des Bieters (nach Vorgaben der Vergabeunterlagen; Anlage C)
RO,21787.45,
RO,,
UK,2872593.05,
CZ,3039.08,Doba trvání běžné servisní prohlídky---Délka záruky za opravu---Rychlost převzetí vozidla do opravy
CZ,,
FR,80000,Prix---Valeur technique
LT,,
PL,756643.03,
RO,244724.67,
CZ,28091.22,
DE,,Ausbaufrist---Höhe der Wirtschaftlichkeitslücke---Innovative Verlegemethoden---Mitnutzung vorhandener Infrastruktur---Vergleichspreis 100/100 Mbit/s gewerblich---Vergleichspreis 50/10 Mbit/s privat---Zielerreichung (Bandbreiten)
CH,1931512.94,Adéquation de l&apos;offre par rapport aux critères du cahier des charges---Aspects financiers---Attestations et justificatifs; profil de l&apos;entreprise; compétences et nombre de références fournies---Délai de livraison---Exploitation; coûts d&apos;entretiens; service après-vente et garanties---Formation — instruction
CZ,950000,Organisation of third-party suppliers---Quality and consistency of the tender in respect of the services requested---Quality of proposed environmental policies and methods---Quality of the assessment of the impact of the action taken---Quality of the case study---Quality of working methods; project management and allocation of resources
PL,52.77,
UK,712804.95,Quality
PL,1246.04,
RO,,
DE,,
SI,651.06,Embalaža---Sheme kakovosti---Več eko živil
RO,13716.31,
ES,,Aumento del límite de indemnización por ocurrencia---Inclusión de supuestos excluidos---Menor precio ofertado---Porcentaje de aumento de todos los sublímites de indemnización---Porcentaje de reducción de todas las franquicias
DE,,
DE,282052.28,Fachtechnische Lösungsansätze---Honorarangebot---Personelle Besetzung/ Leistungsfähigkeit---Präsentation/ Eindruck
FR,1000000,Qualification et expérience du personnel assigné à l&apos;exécution du marché---Qualité et pertinence de la méthodologie proposée pour l&apos;exécution du marché
UK,94557799.88,Commercial---Corporate social responsibility---Technical
DE,,
LT,94,
RO,318.51,
FR,112000,Valeur technique
RO,804585.59,Timpul de livrare de la primirea comenzii lansate de beneficiar
SI,,
SE,944367.32,Erfarenhet arbetsledare---Genomförandebeskrivning---Referenser arbetsledare
FR,19305,Prestation fournisseur---Valeur technique globale
FR,,Valeur technique
SE,2174460.91,
SI,,
IT,140250,
RO,29205.95,
FI,459775,
BG,,
NO,124859.15,Quality
PL,47468.35,
BE,2990400,Coût---Méthodologie
FR,89686.09,Performance environnementale---Prix---Valeur technique
FI,,
IT,65071.76,Come indicato nell&apos;elaborato GE GG 01174
DE,0.01,Berufliche Qualifikation---Berufserfahrung---Konzept Projektumsetzung
PL,579.13,
DE,449555.17,
PL,489667.09,Okres gwarancji jakości
DE,,die in den Vergabeunterlagen benannten Kriterien
RO,,
MT,116882.42,
PL,,Termin dostawy towaru---Termin płatności
ES,6170931.46,Costes del control de calidad---Criterios evaluables mediante juicio de valor---Mejoras técnicas---Proposición económica 1---Proposición económica 2---Vehículos ECO
BG,32383.68,
PL,2094.19,
FR,250000,
FR,185419.64,Le prix n&apos;est pas le seul critère d&apos;attribution et tous les critères sont énoncés uniquement dans les documents du marché.
DE,0.01,
HR,,Vrijeme odaziva prema pisanom pozivu (e-mail) odgovorne osobe kao dodatni kriterij
CZ,2532099.73,
ES,0.01,Compromiso de respuesta en consultas e incidencias---Descuento aplicable---Mantenimiento descuento aplicable---Plazo de entrega---Servicio postventa
PL,17684.29,Okres świadczenia gwarancji; wsparcia użytkowników oraz asysty technicznej” w miesiącach
RO,,
RO,164.37,
FR,310083.6,valeur technique appréciée selon la méthodologie (9 points); la qualité des délais et des moyens (12 points); la qualité des produits (3 points) (pondération donnée en pourcentage de la note finale)
RO,,
RO,231.81,
BG,11885.27,
DE,5149334,
DE,93770,Funktionalität/Einsetzbarkeit/Handling---Kundendienst/Service---Technische Beschaffenheit; Ausführung und Verarbeitung---Umweltverträglichkeit---Wartungs- und Reparaturfreundlichkeit
UK,53475.85,
PL,2231.48,
SI,7344,
FR,59940,
BE,273460,Maintenance services---Methodology---Understanding and respect of user needs/relevance and creativity
PL,145.66,
FR,,
IE,47260,Editor---Method statement
ES,,Aumento plazo garantía---Mayor porcentaje en teleg estión punto a punto---Mejora instalaciones---Menor precio ofertado---Reducción plazo ejecución
PL,,
PL,,
DE,,Ablauf und Organisation
UK,2506.35,Attributes---Capability---Client review---Custom metric---Features---Qualifications
LT,,
SI,2974.09,
ES,,Lote 1 (A.1) Plazo de ejecución---Lote 1 (A.1) Plazo de garantía---Lote 1 (A.1.) Conforme Anexos del Pliego---Lote 1 (A.1.) Proposición económica---Lote 105 a 106 (D.1 a D.2) conforme anexos del pliego---Lote 105 a 106 (D.1 a D.2) plazo de garantía---Lote 105 a 106 (D.1 a D.2) proposición económica---Lote 105 a 106 (D.1 a D.2) tiempo de respuesta ante una deficiencia en garantía---Lote 2 a 6 (A.2 a A.6) Conforme anexos del pliego---Lote 2 a 6 (A.2 a A.6) Posibilidad de suministros futuros---Lote 2 a 6 (Lote A.2 a A.6) Plazo de garantía---Lote 2 a 6 (Lote A.2 a A.6) Proposición económica---Lote 7 al 97 (B.1 a B.91) conforme anexos pliego.---Lote 7 al 97 (B.1 a B.91) plazo de garantía---Lote 7 al 97 (B.1 a B.91) proposición económica---Lote 98 al 104 (C.1 a C.7) conforme anexos del pliego---Lote 98 al 104 (C.1 a C.7) plazo de garantía---Lote 98 al 104 (C.1 a C.7) proposición económica---Lote 98 al 104 (C.1 a C.7) tiempo de respuesta deficiencia en garantía
CZ,47343.22,
SI,7322.59,sheme kakovosti
ES,20753.14,Valoración técnica
FI,228000,
IT,,tecnica
FR,82838.4,Délai de livraison---Développement durable---Service après-vente---Valeur technique
ES,,Ampliación de servicios---Criterio medioambiental---Precio
ES,,
RO,153625.69,
DE,1,
DE,,
PL,99897.62,kryterium pozacenowe
ES,,
ES,75000,
RO,185705.01,
RO,168.17,
PL,9365.69,Reklamacja jakościowa---Termin realizacji bieżącego zamówienia
PL,116.34,Termin realizacji zamówienia (dostawy)
RO,27554.63,
SI,,
DE,1,
RO,44041.89,
RO,18428.76,
ES,133.9,Efectividad del producto; características de aplicación y plan de formación
DE,522500,
PL,,Termin realizacji bieżącego zamówienia---Termin rozpatrzenia reklamacji
RO,394.92,
PL,9968.35,
PL,111.49,
LV,35856.23,
ES,234900,Criterios juicio de valor
DE,0.01,
RO,,
SI,,Shema kakovosti
SE,3683032.55,Beställningsportal---Livslängd---Samverkan---Supportärenden---TCO
ES,,Características organolépticas. Se tendrá en cuenta a efectos de valoración color/olor/aspecto. Cláusula 11 del PCAP---Embalaje y estuchado del producto. Se tomará en consideración envase y resistencia. Cláusula 11 del PCAP---Mayor porcentaje de productos ecológicos---Mejor oferta económica---Plazo de entrega---Plazo de reposición
FR,1299740,Valeur technique
ES,92070,
DE,139494,Bewertung Konzept und Visualisierung
UK,387345.2,Quality
